,p-value,Enriched
Cytokine Module 0,0.02840938756883699,CIR
Cytokine Module 1,0.0026795225453663143,CIR
Cytokine Module 2,4.855977494934773e-05,LX
Cytokine Module 3,0.05877594073215442,None
Cytokine Module 4,0.26545575878651595,None
