Significant_Metabolites
X2821
X2674
X1694
X73
X461
X2680
X3213
X2216
X2681
X2238
X2684
X3271
X3276
X4294
X2144
X2827
X3129
X2682
X2230
X3270
X2094
X1574
X215
X1393
X2712
X1097
X2591
X239
X2855
X2610
X2683
X2110
X6
X53
X3222
X2590
X2381
X4231
X4297
X4419
X2698
X2708
X3252
X110
X2846
X2714
X3260
X3236
X2687
X2717
X3117
X2675
X1561
X3214
X2639
X2798
X2704
X4132
X58
X2665
X5688
X2699
X2715
X328
X4301
X1779
X1718
X2174
X463
X4300
X4851
X3261
X3969
X2504
X2092
X1278
X2690
X2242
X4149
X2664
X2851
X2815
X2250
X68
X4562
X2632
X476
X1659
X3069
X1148
X2406
X144
X4299
X109
X4041
X133
X2223
X28
X5599
X1588
X2854
X1784
X2702
X44
X124
