,p-value,Enriched
Microbial Module 0,0.005012287145488681,LX
Microbial Module 1,1.0,None
Microbial Module 2,1.4383836161054814e-06,LX
Microbial Module 3,0.004484866825449095,LX
Microbial Module 4,0.006584557214494089,LX
Microbial Module 5,8.072097146845677e-06,LX
Microbial Module 6,0.17287232054109436,None
Microbial Module 7,0.0018763334964326034,CIR
Microbial Module 8,0.48639197685689417,None
