,p-value,Enriched
Metabolite Module 0,1.4343184228057781e-05,LX
Metabolite Module 1,0.0014706743365880586,CIR
Metabolite Module 2,0.004240482388952037,LX
Metabolite Module 3,0.005012287145488681,LX
Metabolite Module 4,0.0001764357886595542,CIR
Metabolite Module 5,1.978785814796261e-05,LX
Metabolite Module 6,0.07053373377779734,None
Metabolite Module 7,0.007728560132031656,CIR
