,p-value,Enriched
Cytokine Module 0,7.991429589605876e-06,CIR
Cytokine Module 1,1.2378747705540204e-08,CIR
Cytokine Module 2,1.1816049968220427e-06,CIR
Cytokine Module 3,0.05215643421031583,None
Cytokine Module 4,0.0004134229957551689,CIR
Cytokine Module 5,0.00482214660997474,CON
