Significant_Cytokines
Cyt_MIP.1a
Cyt_MIG
Cyt_IL.8
Cyt_HGF
Cyt_G.CSF
Cyt_IL.13
Cyt_IL.1b
Cyt_IFN.g
Cyt_IP.10
Cyt_IL.10
Cyt_IL.18
Cyt_Eotaxin
Cyt_IL.2
Cyt_MCP.1
Cyt_IFN.a2
Cyt_CTACK
Cyt_MIF
Cyt_GRO.a
Cyt_TNF.a
Cyt_RANTES
Cyt_IL.2Ra
Cyt_IL.15
