,p-value,Enriched
Metabolite Module 0,1.8138468604308318e-08,CON
Metabolite Module 1,2.271860487912083e-06,CON
Metabolite Module 2,6.578689311727725e-07,CIR
Metabolite Module 3,2.115063122199432e-05,CIR
Metabolite Module 4,0.0020088620883869264,CIR
Metabolite Module 5,0.0008048878910067224,CON
Metabolite Module 6,5.09856977764535e-07,CON
Metabolite Module 7,2.8462451088933875e-09,CIR
