Significant_Microbes
SS_Massilistercora.timonensis
SS_Olsenella.sp..oral.taxon.807
SS_Lachnoclostridium.sp..YL32
SS_Blautia.sp..LZLJ.3
SS_Streptococcus.canis
SS_Oscillibacter.sp..NSJ.62
SS_Bifidobacterium.catenulatum
SS_Intestinimonas.butyriciproducens
SS_Lautropia.mirabilis
SS_Mageeibacillus.indolicus
SS_Bifidobacterium.dentium
SS_Intestinibaculum.porci
SS_Dysosmobacter.welbionis
SS_Odoribacter.splanchnicus
SS_Coprococcus.sp..ART55.1
SS_Butyricicoccus.sp..GAM44
SS_Phocaeicola.salanitronis
SS_Bacteroides.intestinalis
SS_Roseburia.hominis
SS_Dialister.pneumosintes
SS_Limosilactobacillus.fermentum
SS_Eggerthella.sp..YY7918
SS_Bifidobacterium.animalis
SS_Christensenella.sp..Marseille.P3954
SS_Bacteroides.sp..CACC.737
SS_Clostridium.perfringens
SS_Bacteroides.uniformis
SS_Phoenicibacter.congonensis
SS_Lacrimispora.saccharolytica
SS_Roseburia.intestinalis
SS_Desulfobulbus.oralis
SS_Longibaculum.sp..KGMB06250
SS_Campylobacter.coli
SS_Bacteroides.sp..HF.162
SS_Lacticaseibacillus.rhamnosus
SS_Blautia.hansenii
SS_Faecalibacterium.prausnitzii
SS_Dialister.massiliensis
SS_Alcaligenes.faecalis
SS_Olsenella.sp..GAM18
SS_Phocaeicola.vulgatus
SS_Klebsiella.oxytoca
SS_Butyricimonas.virosa
SS_Blautia.obeum
SS_Sodaliphilus.pleomorphus
SS_Prevotella.dentalis
SS_.Clostridium..hylemonae
SS_Parabacteroides.distasonis
SS_Bacteroides.thetaiotaomicron
SS_Faecalibacterium.virus.Taranis
SS_Parabacteroides.goldsteinii
SS_Alistipes.megaguti
SS_Pectobacterium.atrosepticum
SS_.Eubacterium..cellulosolvens
SS_.Clostridium..scindens
SS_Faecalibacterium.virus.Toutatis
SS_Anaerostipes.hadrus
SS_Phocaeicola.coprophilus
SS_Blautia.sp..SC05B48
SS_Parascardovia.denticolens
SS_Streptococcus.parasanguinis
SS_Ruminococcus.bicirculans
SS_Lachnospira.eligens
SS_Muribaculum.intestinale
SS_Romboutsia.ilealis
SS_Campylobacter.gracilis
SS_Campylobacter.jejuni
SS_Sutterella.faecalis
SS_Clostridioides.difficile
SS_Barnesiella.viscericola
SS_Trueperella.pyogenes
SS_Enterocloster.bolteae
SS_Propionibacterium.acidifaciens
SS_Petrimonas.mucosa
SS_Coprobacter.sp..2CBH44
SS_Blautia.producta
SS_Adlercreutzia.equolifaciens
SS_Coprococcus.comes
SS_Peptacetobacter.hiranonis
SS_Enterococcus.faecium
SS_Streptococcus.agalactiae
SS_uncultured.crAssphage
SS_Lachnoclostridium.phocaeense
SS_Paraprevotella.xylaniphila
SS_Enterococcus.faecalis
SS_Bifidobacterium.pullorum
SS_Adlercreutzia.sp..8CFCBH1
SS_Bacteroides.fragilis
SS_Faecalibacillus.intestinalis
SS_Bacteroides.sp..HF.5287
SS_Anaerocolumna.sp..CTTW
SS_Streptococcus.thermophilus
SS_Bacteroides.helcogenes
SS_Prevotella.copri
SS_Tannerella.forsythia
SS_Faecalibacterium.virus.Brigit
SS_Treponema.sp..RCC2812
SS_Alistipes.communis
SS_Rothia.dentocariosa
SS_Muribaculum.gordoncarteri
SS_Alistipes.shahii
SS_Streptococcus.anginosus
SS_Faecalibacterium.virus.Oengus
SS_Enterococcus.saigonensis
SS_Bifidobacterium.pseudocatenulatum
SS_.Ruminococcus..torques
SS_Duncaniella.dubosii
SS_Porphyromonas.asaccharolytica
SS_Parolsenella.catena
