,p-value,Enriched
Microbial Module 0,0.22842241707491495,None
Microbial Module 1,1.1508044655669082e-07,CON
Microbial Module 2,0.00813356712213808,CON
Microbial Module 3,6.8535381471444124e-06,CON
Microbial Module 4,1.6961131118795738e-05,CON
Microbial Module 5,0.01564649689660397,CON
Microbial Module 6,0.020409268685124243,CON
Microbial Module 7,2.4472440648178745e-05,CON
Microbial Module 8,0.7001702208904506,None
Microbial Module 9,4.6470642691503134e-06,CON
