,p-value,Enriched
Metabolite Module 0,0.00010421194515808898,LN
Metabolite Module 1,0.0001671146128687121,LN
Metabolite Module 2,0.00012215310784169202,LN
Metabolite Module 3,0.0003312782005934175,LX
Metabolite Module 4,0.0028077381497495463,LN
Metabolite Module 5,0.006222848471189992,LN
Metabolite Module 6,0.0011941407446347948,LX
Metabolite Module 7,0.0002645614741182155,LX
Metabolite Module 8,0.14031564937735788,None
