Significant_Metabolites
X1656
X4184
X131
X336
X303
X2816
X139
X3107
X374
X144
X2866
X3004
X2223
X1761
X1453
X152
X1762
X2238
X1094
X299
X2813
X328
X2584
X415
X4233
X43
X402
X2230
X28
X2216
X4322
X4493
X1811
X1592
X4231
X3116
X1129
X3069
X2136
X4937
X275
X5774
X2591
X2058
X2821
X1099
X2581
X358
X1097
X4590
