,p-value,Enriched
Microbial Module 0,0.1683260949337354,None
Microbial Module 1,0.6414448701929854,None
Microbial Module 2,0.0005940765408778919,LX
Microbial Module 3,0.15105615728737953,None
Microbial Module 4,0.0011153845128289185,LX
Microbial Module 5,0.003185634970406015,LX
Microbial Module 6,0.0010414549834444004,LX
Microbial Module 7,0.34173655502734857,None
