,p-value,Enriched
Microbial Module 0,0.005595170577976067,LN
Microbial Module 1,0.30559849700634445,None
Microbial Module 2,0.9360953909607324,None
Microbial Module 3,0.0007344096836700157,LN
Microbial Module 4,0.0010773931413912646,LN
Microbial Module 5,0.273178962327171,None
Microbial Module 6,0.05775475113243308,None
Microbial Module 7,0.0004633032308523229,LN
