,p-value,Enriched
Metabolite Module 0,6.333982836059522e-05,LN
Metabolite Module 1,0.0037875997707152377,LN
Metabolite Module 2,4.3305574142564505e-05,LN
Metabolite Module 3,0.013597962366399362,LN
Metabolite Module 4,0.00014236763090751643,LN
Metabolite Module 5,8.53920109424107e-05,LN
Metabolite Module 6,0.006238532181339172,LN
Metabolite Module 7,0.03179338961952957,CIR
Metabolite Module 8,0.4815648470998338,None
Metabolite Module 9,0.12765371437105813,None
