,p-value,Enriched
Cytokine Module 0,0.07915984120590758,None
Cytokine Module 1,0.07925665848812924,None
Cytokine Module 2,0.053068906601600956,None
Cytokine Module 3,0.006575842461409562,LN
Cytokine Module 4,0.00029685442342534187,LN
