Significant_Metabolites
X249
X76
X3252
X3138
X497
X275
X4176
X1694
X526
X358
X4025
X401
X253
X683
X144
X1656
X1768
X4049
X1418
X4594
X4444
X502
X3954
X3924
X126
X448
X143
X73
X192
X86
X239
X461
X371
X133
X440
X1865
X474
X3860
X444
X78
X1192
X434
X3260
X3896
X326
X3971
X109
X191
X1794
X28
X3217
X44
X519
X22
X1350
X3885
X463
X134
X16
X1714
X387
X111
X5531
X245
X1690
X4041
X592
X2058
X355
X393
X77
X1746
